ID,Latitude,Longitude
Indianapolis_Downtown,39.7684,-86.1581
Indianapolis_North,39.8740,-86.1496
Fort_Wayne,41.0814,-85.1394
South_Bend,41.6764,-86.2520
Evansville,37.9747,-87.5558
Bloomington,39.1653,-86.5264
Carmel,39.9784,-86.1180
Hammond,41.5834,-87.5000
Lafayette,40.4167,-86.8753
Muncie,40.1934,-85.3863
